Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
309,49.9944444444,13.0538888889,M,0.039531479,0,0,0,1,0,0,0,0,347
310,49.9941666667,13.0530555556,M,0.030649926,0,0,0,0,0,0,0,0,119
311,49.9941666667,13.0530555556,F,0.031982942,0,0,0,1,0,0,0,0,110
312,49.9941666667,13.0530555556,M,0.035385182,0,0,0,0,0,0,0,0,18
313,49.9941666667,13.0530555556,M,0.032484312,0,0,0,0,0,0,0,0,194
314,50.0877777778,12.1344444444,M,0.954562246,0,4,0,0,0,0,0,0,33
315,50.0877777778,12.1344444444,F,0.953730273,0,0,0,0,0,0,0,0,8
316,50.0877777778,12.1344444444,F,0.95341394,0,0,0,0,0,0,0,0,29
317,50.1563888889,12.4513888889,M,0.17357513,0,0,0,0,0,0,0,0,0
318,50.1188888889,12.4019444444,F,0.216927454,0,0,0,0,0,0,0,0,177
